12;20;550 916 1867 1951 1978 2128 2223 2242 2326 2350 2366 2417
13;8;550 916 1867 1951 1978 2128 2223 2242 2321 2326 2350 2366 2417
13;17;550 901 916 1867 1951 1978 2128 2223 2242 2326 2350 2366 2417
14;6;550 901 916 1867 1951 1978 2128 2223 2242 2321 2326 2350 2366 2417
14;12;550 916 1867 1951 1952 1978 2128 2223 2242 2302 2326 2350 2366 2417
15;7;550 916 1056 1867 1951 1956 1978 2128 2223 2242 2321 2326 2350 2366 2417
15;11;550 901 916 1867 1951 1952 1978 2128 2223 2242 2302 2326 2350 2366 2417
16;5;550 901 916 1056 1867 1951 1956 1978 2128 2223 2242 2321 2326 2350 2366 2417
