instance,MultiStart,MDM
./Instances/testing/cc5-3p_sf_r.stp,6344,6332
./Instances/testing/cc5-3p_sf_r.stp,6340,6339
./Instances/testing/cc5-3p_sf_r.stp,6338,6257
./Instances/testing/cc5-3p_sf_r.stp,6339,6338
./Instances/testing/cc5-3p_sf_r.stp,6259,6251
./Instances/testing/cc5-3p_sf_r.stp,6254,6254
./Instances/testing/cc5-3u_sf.stp,75,74
./Instances/testing/cc5-3u_sf.stp,75,73
./Instances/testing/cc5-3u_sf.stp,75,74
./Instances/testing/cc5-3u_sf.stp,75,75
./Instances/testing/cc5-3u_sf.stp,74,74
./Instances/testing/cc5-3u_sf.stp,75,75
./Instances/testing/cc5-3u_sf.stp,75,74
./Instances/testing/cc5-3u_sf.stp,75,75
./Instances/testing/cc5-3u_sf.stp,76,74
./Instances/testing/cc5-3u_sf.stp,75,73
./Instances/testing/cc5-3u_sf_r.stp,49,49
./Instances/testing/cc5-3u_sf_r.stp,48,48
./Instances/testing/cc5-3u_sf_r.stp,51,49
./Instances/testing/cc5-3u_sf_r.stp,50,49
./Instances/testing/cc5-3u_sf_r.stp,49,49
./Instances/testing/cc5-3u_sf_r.stp,49,50
./Instances/testing/cc5-3u_sf_r.stp,49,49
./Instances/testing/cc5-3u_sf_r.stp,49,48
./Instances/testing/cc5-3u_sf_r.stp,50,50
./Instances/testing/cc5-3u_sf_r.stp,49,48
./Instances/testing/cc6-2p_sf.stp,3271,3271
./Instances/testing/cc6-2p_sf.stp,3271,3271
./Instances/testing/cc6-2p_sf.stp,3271,3271
./Instances/testing/cc6-2p_sf.stp,3271,3271
./Instances/testing/cc6-2p_sf.stp,3271,3271
./Instances/testing/cc6-2p_sf.stp,3271,3271
./Instances/testing/cc6-2p_sf.stp,3271,3271
./Instances/testing/cc6-2p_sf.stp,3271,3271
./Instances/testing/cc6-2p_sf.stp,3271,3271
./Instances/testing/cc6-2p_sf.stp,3271,3271
./Instances/testing/cc6-2p_sf_r.stp,2374,2374
./Instances/testing/cc6-2p_sf_r.stp,2374,2374
./Instances/testing/cc6-2p_sf_r.stp,2374,2374
./Instances/testing/cc6-2p_sf_r.stp,2374,2374
./Instances/testing/cc6-2p_sf_r.stp,2374,2374
./Instances/testing/cc6-2p_sf_r.stp,2374,2374
./Instances/testing/cc6-2p_sf_r.stp,2374,2374
./Instances/testing/cc6-2p_sf_r.stp,2374,2374
./Instances/testing/cc6-2p_sf_r.stp,2374,2374
./Instances/testing/cc6-2p_sf_r.stp,2374,2374
./Instances/testing/cc6-2u_sf.stp,32,32
./Instances/testing/cc6-2u_sf.stp,32,32
./Instances/testing/cc6-2u_sf.stp,32,32
./Instances/testing/cc6-2u_sf.stp,32,32
